step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.60163232694462,0,0.0,0.9564812053861398,0,0.0,0.9593282612861108,0,0.0,1.0,0,0.0,1.0,0,0.0,0.952904488982214,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.954819168361558,0,0.0,0.9581467285766827,0,0.0,0.9584770930581306,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9560421708790283,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.231139764422725,0,0.0,0.9694060023187541,0,0.0,0.9719756414457902,0,0.0,1.0,0,0.0,1.0,0,0.0,0.917189170485493,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9681270455698744,0,0.0,0.969495386609823,0,0.0,0.8775633310162644,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.970992209615805,0,0.0,1.0,0,0.0
15.0,3,5.0,0.125,11.050153249603548,0,0.0,0.8087359572052383,0,0.0,0.9474423743903319,0,0.0,1.0,0,0.0,1.0,1,2.0,0.6668993859609847,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9697143737732831,0,0.0,0.9463577289121238,1,2.0,0.6897905130702299,0,0.0,0.9156855930775638,0,0.0,0.9078899343132719,0,0.0,0.939302319149849,1,1.0,0.6072356937603762,0,0.0,1.0,3,5.0
20.0,3,9.0,0.16071428571428573,10.953115100448931,3,9.0,0.6073013390108579,0,0.0,0.9408903730446614,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8307651050285904,0,2.0,0.40154666182478593,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9293354969550035,0,0.0,0.9631574434230009,0,0.0,0.8294640571650748,0,3.0,0.7355866906370634,0,0.0,0.9802225586542289,0,0.0,0.9700349125508905,0,0.0,0.7987031090510316,0,2.0,0.45359025324627705,3,16.0
25.0,4,28.0,0.3888888888888889,11.9141423100134,4,28.0,0.5672341407189714,0,0.0,0.9750331460883521,0,0.0,1.0,0,0.0,0.9522794574202449,0,0.0,0.966322318159071,0,2.0,0.9711291927313106,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9886647789540857,0,0.0,0.9807248618667952,0,0.0,0.7610902964667894,0,3.0,0.9439482284584043,0,0.0,0.954551027006502,0,0.0,0.9370283083208473,0,0.0,0.9718696440974042,0,2.0,0.9401609473554171,4,35.0
30.0,9,62.0,0.775,10.309930922139998,7,58.0,0.4349543060816351,0,0.0,0.9506171644001244,0,0.0,0.9514672671099991,0,0.0,0.9730250503466993,1,2.0,0.6542379544520867,0,2.0,0.9566067815694526,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7053682328963522,0,0.0,0.9327233141256659,1,2.0,0.6890859099033837,0,3.0,0.8200328666302916,0,0.0,0.9489001014776194,0,0.0,0.927512185931421,0,0.0,0.6491762954255212,0,2.0,0.9419931621819123,9,69.0
35.0,20,142.0,1.4791666666666667,8.728304544317686,8,94.0,0.4171875600166674,0,0.0,0.9633717922244862,0,0.0,0.9465699067278989,0,0.0,0.8851234421142471,2,11.0,0.44817786841626983,1,1.0,0.540035477090576,0,0.0,0.9578435602456503,0,0.0,0.9181420621386993,2,9.0,0.5544540016758708,0,0.0,0.9186961870566135,2,10.0,0.6709341654559566,1,5.0,0.5473076769089275,0,0.0,0.9472314456590798,0,0.0,0.9266514847993799,2,11.0,0.6113343667598797,2,5.0,0.19078856540562725,20,146.0
40.0,30,256.0,2.2857142857142856,8.306735214452404,10,139.0,0.3840206529783276,0,0.0,0.9658260423496946,0,0.0,0.9564625772733879,0,0.0,0.9710412269527788,4,30.0,0.35612239035974225,4,14.0,0.3320735432230339,0,0.0,0.9554164039312004,0,0.0,0.9951519745084624,0,2.0,0.5790176500174725,0,0.0,0.9448303353468053,4,26.0,0.5594908682557332,0,1.0,0.6788024888543606,0,2.0,0.7666295202282293,0,0.0,0.9860393400244982,4,30.0,0.6738505972353774,4,23.0,0.068065790380839,30,267.0
45.0,28,240.0,2.0,7.919734450526458,6,131.0,0.32190833292000964,0,4.0,0.7375045287223743,0,0.0,0.9967911258190459,0,0.0,0.9708026488218257,6,59.0,0.4720524193483394,4,34.0,0.19844827923365987,1,1.0,0.7283829729846698,0,0.0,0.9406070795297596,0,0.0,0.9454969228256415,0,0.0,0.9313745086251409,1,18.0,0.3824811498737813,0,4.0,0.7586882613766918,0,4.0,0.809675938244629,0,0.0,0.8137319681016,5,52.0,0.3974050516016588,5,50.0,0.4545192261954301,28,357.0
50.0,28,280.0,2.0588235294117645,8.895593190166878,2,64.0,0.4806417120050875,0,4.0,0.8995017370663299,0,0.0,1.0,0,0.0,0.9275477330072824,9,98.0,0.4107146703302443,0,19.0,0.31328617662512126,1,10.0,0.6097377905840132,0,0.0,0.9426569445005509,0,0.0,0.9398496185707315,0,0.0,0.942820525004383,3,12.0,0.49645605402290177,0,4.0,0.9126812984893812,0,4.0,0.8266452423162504,0,0.0,0.958956146377654,8,87.0,0.2785436022521192,5,75.0,0.5393365107180902,28,377.0
