step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,13.135319211554618,0,0.0,0.9329477559071339,0,0.0,False,,
10.0,0,0.0,0.0,12.41419096378217,0,0.0,0.8886330893174909,0,0.0,False,,
15.0,3,4.0,0.2222222222222222,6.446187591328854,3,4.0,0.37019638839736685,3,4.0,False,,
20.0,9,45.0,2.5,6.345753465764327,9,45.0,0.3544768668988015,9,45.0,False,,
25.0,7,53.0,2.409090909090909,4.898102196960291,7,67.0,0.2983777991471809,7,67.0,False,,
30.0,11,105.0,5.0,5.793813574585027,11,105.0,0.29573283081866286,11,105.0,False,,
35.0,8,78.0,3.12,5.604764631070433,8,122.0,0.2831889401876224,8,122.0,False,,
40.0,6,87.0,3.2222222222222223,7.98222960456652,6,98.0,0.4909715109525443,6,98.0,False,,
45.0,8,120.0,3.870967741935484,7.7997183624633575,8,127.0,0.4347424729389471,8,127.0,False,,
50.0,14,176.0,6.285714285714286,4.3075635300061,14,183.0,0.24220102056853599,14,183.0,False,,
55.0,14,220.0,7.586206896551724,3.760937493498948,14,245.0,0.24587939161823724,14,245.0,False,,
60.0,14,276.0,9.517241379310345,4.772827510228821,14,284.0,0.2217915793109985,14,284.0,False,,
65.0,10,111.0,3.1714285714285713,6.324878642914574,10,242.0,0.3047073030767851,10,242.0,False,,
70.0,11,105.0,3.3870967741935485,7.079480380561427,11,139.0,0.2785890794186293,11,139.0,False,,
75.0,9,113.0,2.8974358974358974,6.74497605555164,9,170.0,0.3784483330128421,9,170.0,False,,
80.0,9,145.0,4.142857142857143,8.228584756987354,9,190.0,0.499957540333247,9,190.0,False,,
85.0,11,194.0,5.105263157894737,5.5779153180557,11,233.0,0.2651639524088423,11,233.0,False,,
90.0,23,290.0,8.285714285714286,4.097722573885695,23,329.0,0.18061780850492712,23,329.0,False,,
95.0,18,205.0,5.857142857142857,3.143765163514143,18,347.0,0.16811258548900304,18,347.0,False,,
100.0,21,287.0,8.2,4.421731062370986,21,334.0,0.20431430813185156,21,334.0,False,,
105.0,17,282.0,7.230769230769231,4.596145835441704,17,384.0,0.17809043594416274,17,384.0,False,,
110.0,11,263.0,6.575,6.239303634507128,11,382.0,0.33673952268025964,11,382.0,False,,
115.0,7,86.0,2.2051282051282053,6.046315780445551,7,326.0,0.3319891336614226,7,326.0,False,,
120.0,7,29.0,0.7837837837837838,5.813320882263417,7,208.0,0.2972510012402348,7,208.0,False,,
125.0,11,35.0,0.8974358974358975,4.702121075310644,11,179.0,0.1935138762100975,11,179.0,False,,
130.0,12,51.0,1.3421052631578947,5.601604680257766,12,159.0,0.22168018798865272,12,159.0,False,,
135.0,12,102.0,2.7567567567567566,6.781245940550795,12,178.0,0.2920258186422449,12,178.0,False,,
140.0,9,86.0,2.4571428571428573,5.823073616290366,9,167.0,0.29355522077866036,9,167.0,False,,
145.0,13,122.0,3.2972972972972974,5.865766044427994,13,158.0,0.3070239975343427,13,158.0,False,,
150.0,15,141.0,3.525,6.00899408802948,15,193.0,0.35745673990894494,15,193.0,False,,
155.0,7,144.0,3.891891891891892,6.3681449712737646,7,198.0,0.34033858793839583,7,198.0,False,,
160.0,10,48.0,1.2,5.444233994064721,10,169.0,0.25117849572814216,10,169.0,False,,
165.0,16,115.0,3.3823529411764706,3.7211378644054625,16,169.0,0.12888929042245167,16,169.0,False,,
170.0,21,162.0,4.153846153846154,4.320132905435914,21,233.0,0.1928204220923114,21,233.0,False,,
175.0,13,179.0,4.837837837837838,4.724207643272675,13,258.0,0.16137238440101698,13,258.0,False,,
180.0,11,232.0,6.27027027027027,6.53980401305048,11,264.0,0.24990874802402074,11,264.0,False,,
185.0,13,246.0,6.3076923076923075,6.416911617376227,13,278.0,0.32430100594438954,13,278.0,False,,
190.0,18,327.0,8.605263157894736,4.396917204327889,18,359.0,0.23113164763453908,18,359.0,False,,
195.0,21,389.0,10.513513513513514,2.812009621178507,21,439.0,0.14075109455898396,21,439.0,False,,
200.0,17,450.0,11.538461538461538,4.444609941978224,17,489.0,0.21378564543025697,17,489.0,False,,
205.0,15,241.0,5.878048780487805,4.202862782524189,15,453.0,0.1650313858664919,15,453.0,False,,
