step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
15.0,0,0.0,0.0,11.207622532784157,0,0.0,0.9325244698235537,0,0.0,False,,
20.0,0,0.0,0.0,11.98649013274429,0,0.0,0.9847798473116152,0,0.0,False,,
25.0,0,0.0,0.0,12.002548519513436,0,0.0,0.989491266115564,0,0.0,False,,
30.0,0,0.0,0.0,12.136494016501963,0,0.0,0.9660666932056098,0,0.0,False,,
35.0,0,0.0,0.0,12.282273853071196,0,0.0,0.9919005782419229,0,0.0,False,,
40.0,0,0.0,0.0,12.490358252349626,0,0.0,0.9678544187429339,0,0.0,False,,
45.0,0,0.0,0.0,12.627959184325718,0,0.0,0.967926602139532,0,0.0,False,,
50.0,0,0.0,0.0,12.87458392946719,0,0.0,0.9862148626438102,0,0.0,False,,
55.0,0,0.0,0.0,12.57850103512501,0,0.0,0.9529188626073157,0,0.0,False,,
60.0,0,0.0,0.0,12.58121720188194,0,0.0,0.9450996925984093,0,0.0,False,,
65.0,0,0.0,0.0,13.025013408578554,0,0.0,0.9700200418791218,0,0.0,False,,
70.0,1,1.0,0.08333333333333333,12.113942005390548,1,1.0,0.903463199379171,1,1.0,False,,
75.0,1,6.0,0.42857142857142855,12.078178008309775,1,6.0,0.9001487116478851,1,6.0,False,,
80.0,1,11.0,0.7857142857142857,12.233374174652406,1,11.0,0.9111622218900746,1,11.0,False,,
85.0,1,16.0,1.0,11.304256832793078,1,16.0,0.8374299253970771,1,16.0,False,,
90.0,4,30.0,1.875,10.00325732847588,4,30.0,0.7310898170849123,4,30.0,False,,
95.0,4,50.0,2.5,10.233571579025988,4,50.0,0.7409046252243668,4,50.0,False,,
100.0,4,70.0,2.9166666666666665,9.929171444137667,4,70.0,0.7048921406233303,4,70.0,False,,
105.0,6,99.0,3.6666666666666665,10.132544520749851,6,99.0,0.7182918313494598,6,99.0,False,,
110.0,8,135.0,4.655172413793103,9.76770057745551,8,135.0,0.7005265041543973,8,135.0,False,,
115.0,8,175.0,6.0344827586206895,8.987461563578398,8,175.0,0.6442840813197948,8,175.0,False,,
120.0,10,225.0,7.5,8.784607737119147,10,225.0,0.6190443638243216,10,225.0,False,,
125.0,11,278.0,8.176470588235293,9.133995426393634,11,278.0,0.63905718403966,11,278.0,False,,
130.0,11,333.0,9.514285714285714,9.006490560392672,11,333.0,0.6293795234550468,11,333.0,False,,
135.0,12,392.0,10.31578947368421,8.897559973666214,12,392.0,0.6207680074445981,12,392.0,False,,
140.0,13,457.0,11.146341463414634,9.078503739651055,13,457.0,0.6346780278390679,13,457.0,False,,
145.0,14,523.0,12.162790697674419,8.811593538281848,14,523.0,0.6143442443577369,14,523.0,False,,
150.0,16,598.0,12.72340425531915,8.380886741503502,16,598.0,0.5910459980460588,16,598.0,False,,
155.0,17,673.0,14.020833333333334,7.726660157721272,17,683.0,0.5372504032389782,17,683.0,False,,
160.0,21,772.0,14.296296296296296,7.585490915452746,21,772.0,0.5340227912607208,21,772.0,False,,
165.0,23,881.0,15.189655172413794,7.768805496523688,23,881.0,0.5383389676423465,23,881.0,False,,
170.0,24,999.0,16.37704918032787,7.881344162842644,24,999.0,0.5373623593099325,24,999.0,False,,
175.0,26,1124.0,17.03030303030303,7.697463605804503,26,1124.0,0.5217586919363767,26,1124.0,False,,
180.0,27,1258.0,17.47222222222222,7.987238590229414,27,1258.0,0.5475769193607499,27,1258.0,False,,
185.0,28,1397.0,19.136986301369863,8.027312791067354,28,1397.0,0.559329673875994,28,1397.0,False,,
190.0,31,1546.0,19.325,7.786630029042061,31,1546.0,0.5385877401641916,31,1546.0,False,,
195.0,34,1711.0,20.129411764705882,7.959086090963867,34,1711.0,0.5513031089786017,34,1711.0,False,,
200.0,37,1888.0,21.454545454545453,7.809272716765647,37,1888.0,0.5421119229436615,37,1888.0,False,,
205.0,39,2079.0,23.625,7.584785936189514,39,2079.0,0.5290043691252468,39,2079.0,False,,
210.0,41,2276.0,25.01098901098901,7.039198782988221,41,2276.0,0.4916840695232076,41,2276.0,False,,
215.0,46,2497.0,25.479591836734695,7.032311258181182,46,2497.0,0.49386921408288603,46,2497.0,False,,
220.0,49,2732.0,26.01904761904762,6.714007189795733,49,2732.0,0.47361284582828,49,2732.0,False,,
225.0,55,2992.0,27.703703703703702,6.136964320682961,55,2993.0,0.44019759479154513,55,2993.0,False,,
230.0,60,3277.0,28.74561403508772,5.80871669719108,60,3277.0,0.4220625969499393,60,3277.0,False,,
235.0,62,3586.0,29.883333333333333,5.743985358171151,62,3586.0,0.4172689799277445,62,3586.0,False,,
240.0,68,3918.0,30.8503937007874,5.850559863799118,68,3918.0,0.422605674840462,68,3918.0,False,,
245.0,71,4266.0,32.815384615384616,5.536745131215871,71,4266.0,0.39946506985478925,71,4266.0,False,,
250.0,75,4634.0,34.0735294117647,5.657766029635269,75,4634.0,0.4045042723074758,75,4634.0,False,,
255.0,78,5013.0,36.064748201438846,5.51337007320958,78,5013.0,0.38889919095400566,78,5013.0,False,,
260.0,81,5414.0,37.082191780821915,5.717131907344428,81,5414.0,0.40361285287978615,81,5414.0,False,,
265.0,82,5820.0,38.54304635761589,5.674916815412003,82,5820.0,0.4012524891983335,82,5820.0,False,,
270.0,92,6257.0,40.36774193548387,5.072883317731429,92,6257.0,0.3572103669311568,92,6257.0,False,,
275.0,97,6725.0,41.25766871165644,4.998239017100261,97,6733.0,0.3498129387363688,97,6733.0,False,,
280.0,100,7210.0,43.17365269461078,4.992144538811438,100,7210.0,0.3497239893868139,100,7210.0,False,,
285.0,104,7725.0,43.89204545454545,5.047674166232497,104,7726.0,0.3446255564399261,104,7726.0,False,,
290.0,108,8256.0,45.613259668508285,4.991321758273147,108,8257.0,0.34171385985232466,108,8257.0,False,,
295.0,115,8821.0,47.68108108108108,4.892907975814911,115,8822.0,0.33273345009396244,115,8822.0,False,,
300.0,121,9411.0,49.53157894736842,4.581128065377526,121,9412.0,0.3080537525348377,121,9412.0,False,,
305.0,128,10038.0,51.74226804123711,4.410991299668351,128,10039.0,0.29984899830716744,128,10039.0,False,,
310.0,132,10689.0,53.984848484848484,4.315713920169918,132,10690.0,0.2933788636959751,132,10690.0,False,,
315.0,138,11364.0,56.53731343283582,4.010514330672551,138,11365.0,0.2716703288379184,138,11365.0,False,,
320.0,146,12078.0,58.63106796116505,3.7875561981547934,146,12079.0,0.25017834979982845,146,12079.0,False,,
325.0,149,12817.0,60.74407582938389,3.851541542021783,149,12818.0,0.25372292428874055,149,12818.0,False,,
330.0,155,13572.0,63.12558139534884,3.4223099084182778,155,13573.0,0.2244322060912642,155,13573.0,False,,
335.0,162,14371.0,63.87111111111111,3.5421725724052977,162,14373.0,0.23568618105011135,162,14373.0,False,,
340.0,161,13809.0,59.52155172413793,3.561147057517666,161,15184.0,0.24337582827727866,161,15184.0,False,,
345.0,140,10463.0,43.96218487394958,3.8183227452756467,140,13675.0,0.2623334943125916,140,13675.0,False,,
350.0,120,8786.0,36.00819672131148,4.359916251118488,120,13214.0,0.2861333278121659,120,13214.0,False,,
355.0,101,8133.0,32.273809523809526,5.478534848768435,101,11877.0,0.33997819497820264,101,11877.0,False,,
360.0,78,7886.0,30.44787644787645,6.522160142931838,78,10840.0,0.38244738677774454,78,10840.0,False,,
365.0,81,8272.0,30.75092936802974,7.54505318755637,81,10205.0,0.43211647434178324,81,10205.0,False,,
370.0,86,8689.0,31.94485294117647,8.15377739282259,86,9800.0,0.4525036320746282,86,9800.0,False,,
375.0,89,9128.0,33.072463768115945,8.553023306324372,89,9632.0,0.4639958429939148,89,9632.0,False,,
380.0,90,9578.0,34.08540925266904,8.74908532020366,90,9676.0,0.44374371306561056,90,9676.0,False,,
385.0,93,10036.0,34.84722222222222,8.729376947696576,93,10049.0,0.42780386172596957,93,10049.0,False,,
390.0,96,10512.0,35.63389830508475,8.792998954118426,96,10512.0,0.4134805459933174,96,10512.0,False,,
395.0,94,9378.0,30.74754098360656,8.720650088326547,94,10996.0,0.40733795609186607,94,10996.0,False,,
400.0,71,3953.0,12.834415584415584,8.691595769049641,71,8307.0,0.4176379658180218,71,8307.0,False,,
405.0,56,2060.0,6.710097719869707,8.752625445760522,56,7278.0,0.44188127890563683,56,7278.0,False,,
410.0,42,900.0,2.9702970297029703,9.06513669033944,42,4947.0,0.46694150096928777,42,4947.0,False,,
415.0,37,739.0,2.4966216216216215,8.933841848242466,37,4968.0,0.44302335706863627,37,4968.0,False,,
420.0,38,679.0,2.3494809688581313,8.739520454533704,38,4989.0,0.447021528444253,38,4989.0,False,,
425.0,56,906.0,3.092150170648464,8.661256704840795,56,5167.0,0.44538508195029997,56,5167.0,False,,
430.0,74,1243.0,4.331010452961673,8.692767442530162,74,5421.0,0.4460633710559573,74,5421.0,False,,
435.0,86,1650.0,5.769230769230769,8.672923182231347,86,5821.0,0.44597206650603616,86,5821.0,False,,
440.0,88,1952.0,7.0215827338129495,8.466292453462614,88,6276.0,0.4449564610771544,88,6276.0,False,,
445.0,69,1641.0,5.945652173913044,8.241949652037482,69,4937.0,0.46082469378228474,69,4937.0,False,,
450.0,56,1412.0,5.02491103202847,8.381514164149694,56,5241.0,0.48415420457062613,56,5241.0,False,,
455.0,52,1288.0,4.487804878048781,8.72107511780614,52,5473.0,0.5178895689008146,52,5473.0,False,,
460.0,59,1423.0,4.873287671232877,8.69156520646162,59,5746.0,0.5128055300098703,59,5746.0,False,,
465.0,80,1771.0,6.106896551724138,8.454337814187436,80,6102.0,0.49420485714265716,80,6102.0,False,,
470.0,95,2220.0,7.681660899653979,8.218493480082538,95,6552.0,0.4751562043172014,95,6552.0,False,,
475.0,109,2744.0,9.239057239057239,8.065614169171774,109,7080.0,0.46923734799007716,109,7080.0,False,,
480.0,118,3319.0,10.953795379537954,7.884769892269756,118,7655.0,0.4718171401458406,118,7655.0,False,,
485.0,126,3934.0,12.898360655737704,7.551465762382274,126,8270.0,0.455466625265941,126,8270.0,False,,
