step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
15.0,0,0.0,0.0,11.567113906843588,0,0.0,0.8378062507959829,0,0.0,False,,
20.0,0,0.0,0.0,13.396107732033924,0,0.0,0.9702630128902934,0,0.0,False,,
25.0,0,0.0,0.0,13.452826237603658,0,0.0,0.9743516399808922,0,0.0,False,,
30.0,0,0.0,0.0,13.015331427305204,0,0.0,0.9825007814546733,0,0.0,False,,
35.0,0,0.0,0.0,12.617342828169383,0,0.0,0.9308636901112587,0,0.0,False,,
40.0,0,0.0,0.0,13.085152289803498,0,0.0,0.9428258283493399,0,0.0,False,,
45.0,0,0.0,0.0,13.469204825406692,0,0.0,0.9887341166444613,0,0.0,False,,
50.0,0,0.0,0.0,13.461399507145506,0,0.0,0.988334900381218,0,0.0,False,,
55.0,0,0.0,0.0,12.810072992485718,0,0.0,0.9494294777086328,0,0.0,False,,
60.0,0,0.0,0.0,12.793472779909358,0,0.0,0.9549716378224792,0,0.0,False,,
65.0,0,0.0,0.0,12.93251794227836,0,0.0,0.9564548538858103,0,0.0,False,,
70.0,1,2.0,0.16666666666666666,12.116092885184534,1,2.0,0.8994646526539798,1,2.0,False,,
75.0,1,7.0,0.5,12.19512053948531,1,7.0,0.8746297263948096,1,7.0,False,,
80.0,0,0.0,0.0,12.787626660968767,0,11.0,0.9139963237335681,0,11.0,False,,
85.0,0,0.0,0.0,12.438219152110275,0,0.0,0.9361925657473212,0,0.0,False,,
90.0,2,3.0,0.1875,11.086819556446038,2,3.0,0.8149075463472852,2,3.0,False,,
95.0,3,17.0,0.85,10.791349465859035,3,17.0,0.7738339294752165,3,17.0,False,,
100.0,2,20.0,0.8333333333333334,11.387113367890729,2,31.0,0.80000668500142,2,31.0,False,,
105.0,2,30.0,1.1111111111111112,12.11968453483464,2,30.0,0.8698423548143331,2,30.0,False,,
110.0,2,40.0,1.3793103448275863,12.302562737280109,2,40.0,0.8715149689396796,2,40.0,False,,
115.0,5,57.0,1.9655172413793103,10.97352090769989,5,57.0,0.7455747487946401,5,57.0,False,,
120.0,4,27.0,0.9,10.135713753039692,4,85.0,0.6954649911302474,4,85.0,False,,
125.0,5,35.0,1.0294117647058822,10.25282307557599,5,48.0,0.7246653308529987,5,48.0,False,,
130.0,6,59.0,1.6857142857142857,10.638595098416387,6,80.0,0.7378417071103497,6,80.0,False,,
135.0,6,89.0,2.4054054054054053,11.092564234091,6,102.0,0.7871250957036463,6,102.0,False,,
140.0,4,72.0,1.8,11.14720838563379,4,130.0,0.775262291663873,4,130.0,False,,
145.0,4,64.0,1.5609756097560976,11.336842539609492,4,77.0,0.8330087479364396,4,77.0,False,,
150.0,5,87.0,1.9333333333333333,10.63574842301554,5,100.0,0.7450152344809129,5,100.0,False,,
155.0,9,94.0,2.0434782608695654,10.04296914146103,9,138.0,0.656568911665615,9,138.0,False,,
160.0,10,129.0,2.480769230769231,10.127135524112465,10,142.0,0.6713270777907977,10,142.0,False,,
165.0,10,166.0,3.018181818181818,10.445592454355543,10,192.0,0.691525469415647,10,192.0,False,,
170.0,11,219.0,3.7758620689655173,10.61265214076318,11,232.0,0.7096357442220291,11,232.0,False,,
175.0,12,269.0,4.409836065573771,10.189582234772203,12,292.0,0.673706931398733,12,292.0,False,,
180.0,15,339.0,4.985294117647059,10.088936443435088,15,352.0,0.6778773830767297,15,352.0,False,,
185.0,11,246.0,3.5652173913043477,9.97407084986979,11,353.0,0.6834313347326733,11,353.0,False,,
190.0,9,175.0,2.3333333333333335,10.455721408582738,9,191.0,0.7858762446996386,9,191.0,False,,
195.0,12,223.0,2.858974358974359,10.475805705454023,12,239.0,0.7501504774515032,12,239.0,False,,
200.0,15,294.0,3.675,10.628637808283681,15,310.0,0.7360866726340782,15,310.0,False,,
205.0,13,137.0,1.7341772151898733,10.01134865842181,13,387.0,0.6707511114876792,13,387.0,False,,
210.0,8,71.0,0.8765432098765432,10.296599329193096,8,139.0,0.7711455215401404,8,139.0,False,,
215.0,9,112.0,1.2727272727272727,10.136592842934407,9,123.0,0.7441549173261522,9,123.0,False,,
220.0,15,167.0,1.7578947368421052,10.19336360296734,15,190.0,0.6954189432132406,15,190.0,False,,
225.0,18,253.0,2.5816326530612246,10.408846662117728,18,264.0,0.6971412409939651,18,264.0,False,,
230.0,15,184.0,1.7864077669902914,10.355539797422031,15,360.0,0.7003067062960285,15,360.0,False,,
235.0,2,30.0,0.2777777777777778,10.606595330358095,2,101.0,0.7991672178599818,2,101.0,False,,
240.0,8,31.0,0.2743362831858407,10.456587405346227,8,123.0,0.7459106920137306,8,123.0,False,,
245.0,20,88.0,0.7652173913043478,9.887833597837604,20,159.0,0.656183275809777,20,159.0,False,,
250.0,21,144.0,1.2100840336134453,9.742140266149303,21,279.0,0.632179534419258,21,279.0,False,,
255.0,10,94.0,0.7966101694915254,10.193588165019284,10,164.0,0.726233943182694,10,164.0,False,,
260.0,10,68.0,0.544,10.464251434310857,10,219.0,0.7189945556305415,10,219.0,False,,
265.0,15,95.0,0.7307692307692307,10.79773810981816,15,179.0,0.7500479171363291,15,179.0,False,,
270.0,16,129.0,0.9923076923076923,10.608984580302831,16,246.0,0.7048593256936979,16,246.0,False,,
275.0,9,83.0,0.6240601503759399,10.556982430141506,9,174.0,0.7327794100308306,9,174.0,False,,
280.0,14,125.0,0.946969696969697,10.451737468251524,14,230.0,0.6899604033838639,14,230.0,False,,
285.0,27,234.0,1.683453237410072,9.94865665737725,27,331.0,0.6218535217317107,27,331.0,False,,
290.0,29,334.0,2.3194444444444446,9.705297200013039,29,489.0,0.5973668225836133,29,489.0,False,,
295.0,17,309.0,2.1020408163265305,9.867671780690067,17,408.0,0.6591770508270574,17,408.0,False,,
300.0,26,317.0,2.171232876712329,9.642637399762444,26,515.0,0.6172318602370337,26,515.0,False,,
305.0,34,432.0,2.8993288590604025,9.60635772314998,34,531.0,0.6048563030651485,34,531.0,False,,
310.0,33,417.0,2.78,9.549913448855945,33,653.0,0.5928533684016222,33,653.0,False,,
315.0,26,303.0,2.033557046979866,9.242238873111036,26,488.0,0.6077586245839149,26,488.0,False,,
320.0,30,324.0,2.174496644295302,8.877462413689061,30,632.0,0.5526027040304983,30,632.0,False,,
325.0,17,138.0,0.9078947368421053,9.333488003473905,17,490.0,0.6154188210801483,17,490.0,False,,
330.0,19,146.0,0.9605263157894737,9.2581161724465,19,575.0,0.5751843277099722,19,575.0,False,,
335.0,28,205.0,1.28125,9.420007293813097,28,503.0,0.6101363046079885,28,503.0,False,,
340.0,35,374.0,2.2804878048780486,9.161332932384708,35,672.0,0.5587051166597778,35,672.0,False,,
345.0,49,597.0,3.5535714285714284,9.092018310524606,49,895.0,0.535919588617177,49,895.0,False,,
350.0,51,743.0,4.294797687861272,9.041509022736573,51,1148.0,0.5326527425781631,51,1148.0,False,,
355.0,54,945.0,5.308988764044944,8.713751971325221,54,1273.0,0.5177490581177475,54,1273.0,False,,
360.0,54,1046.0,5.843575418994414,8.504062582990173,54,1557.0,0.507034716797803,54,1557.0,False,,
365.0,30,495.0,2.7049180327868854,8.733474057448966,30,1216.0,0.5603451901858058,30,1216.0,False,,
370.0,25,539.0,2.8978494623655915,9.47721588147315,25,1077.0,0.6304723137066546,25,1077.0,False,,
375.0,35,679.0,3.6310160427807485,9.208719989504003,35,1198.0,0.5789362214353814,35,1198.0,False,,
380.0,53,915.0,5.0,8.614203575460515,53,1391.0,0.5161009749444689,53,1391.0,False,,
385.0,57,1149.0,6.144385026737968,8.583406163709888,57,1695.0,0.5167779352214806,57,1695.0,False,,
390.0,39,1147.0,6.133689839572193,8.346679894299474,39,1504.0,0.5309587150033884,39,1504.0,False,,
395.0,40,995.0,5.102564102564102,8.399216315671863,40,1563.0,0.5280356449911674,40,1563.0,False,,
400.0,32,219.0,1.123076923076923,8.321596096312177,32,1362.0,0.5254546385776073,32,1362.0,False,,
405.0,44,249.0,1.245,7.9616063876870165,44,1536.0,0.47907295601397,44,1536.0,False,,
410.0,43,230.0,1.1330049261083743,7.871214786909481,43,1447.0,0.4723229910695906,43,1447.0,False,,
415.0,47,338.0,1.6407766990291262,7.937697016762104,47,1683.0,0.45905658286876694,47,1683.0,False,,
420.0,69,618.0,2.9150943396226414,7.672462413438757,69,1934.0,0.43042242685954163,69,1934.0,False,,
425.0,82,1001.0,4.591743119266055,7.4904219032827495,82,2309.0,0.4270017286487983,82,2309.0,False,,
430.0,85,1284.0,5.972093023255814,7.3421492894577804,85,2658.0,0.4364596371049018,85,2658.0,False,,
435.0,64,994.0,4.457399103139013,7.443920219900511,64,2304.0,0.47069086219933803,64,2304.0,False,,
440.0,62,1098.0,4.672340425531915,7.51305447924156,62,2603.0,0.46475441277489493,62,2603.0,False,,
445.0,80,1450.0,5.991735537190083,7.356075143857418,80,2965.0,0.4444122719504104,80,2965.0,False,,
450.0,94,1851.0,7.28740157480315,7.239005066683995,94,3426.0,0.4374552859550878,94,3426.0,False,,
455.0,79,2050.0,7.824427480916031,7.404875676894182,79,3214.0,0.4723310295620778,79,3214.0,False,,
460.0,71,2324.0,8.769811320754718,7.907155541466036,71,3266.0,0.514868130895652,71,3266.0,False,,
465.0,79,2562.0,9.631578947368421,7.741544055985801,79,3638.0,0.4898031894634762,79,3638.0,False,,
470.0,95,2857.0,10.62081784386617,7.558062242508013,95,3940.0,0.4752034768808658,95,3940.0,False,,
475.0,104,2997.0,10.858695652173912,7.252803974298324,104,4362.0,0.46046064883143195,104,4362.0,False,,
480.0,94,1784.0,6.151724137931034,7.283044172300971,94,4068.0,0.47612475055262404,94,4068.0,False,,
485.0,85,1171.0,3.9163879598662206,7.1109743558915905,85,4503.0,0.4548975812946135,85,4503.0,False,,
490.0,94,1249.0,4.0816993464052285,6.779331286816905,94,4854.0,0.4202496863992437,94,4854.0,False,,
495.0,112,1727.0,5.553054662379421,6.607951540430895,112,5334.0,0.403787298451558,112,5334.0,False,,
