step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,12.40337425176496,0,0.0,0.9079180201546845,0,0.0,False,,
10.0,0,0.0,0.0,12.334337241626153,0,0.0,0.9048315537120303,0,0.0,False,,
15.0,3,4.0,0.2222222222222222,6.7349439820653725,3,4.0,0.3902197337275379,3,4.0,False,,
20.0,9,45.0,2.5,6.520081161146434,9,45.0,0.36387673635760237,9,45.0,False,,
25.0,6,63.0,2.8636363636363638,5.622768633834879,6,69.0,0.3435473068308513,6,69.0,False,,
30.0,8,101.0,4.809523809523809,7.197723052351847,8,101.0,0.35256184991782813,8,101.0,False,,
35.0,8,141.0,5.64,8.097143498160284,8,141.0,0.26620081264612444,8,141.0,False,,
40.0,10,187.0,7.1923076923076925,8.33288043682679,10,187.0,0.4521624856262056,10,187.0,False,,
45.0,10,237.0,9.875,6.933122358368223,10,237.0,0.4277974858944895,10,237.0,False,,
50.0,8,148.0,5.6923076923076925,5.682531739896543,8,216.0,0.30876389552523203,8,216.0,False,,
55.0,8,182.0,6.5,7.008561897106465,8,186.0,0.38249729528541876,8,186.0,False,,
60.0,8,222.0,8.538461538461538,7.2838145296531795,8,222.0,0.3425107919454524,8,222.0,False,,
65.0,10,266.0,9.5,8.162365384816258,10,266.0,0.3847247919650869,10,266.0,False,,
70.0,4,52.0,2.1666666666666665,8.46768013667492,4,198.0,0.41828353631793364,4,198.0,False,,
75.0,4,30.0,0.9375,9.457590740872199,4,68.0,0.6110426564380375,4,68.0,False,,
80.0,8,62.0,2.2142857142857144,9.175834970597835,8,62.0,0.5710542908762684,8,62.0,False,,
85.0,4,70.0,2.413793103448276,6.337732700092684,4,80.0,0.43437723035663206,4,80.0,False,,
90.0,12,115.0,4.423076923076923,6.397284124524332,12,115.0,0.33143368752891583,12,115.0,False,,
95.0,10,159.0,5.3,6.743707610746621,10,159.0,0.3260129843881834,10,159.0,False,,
100.0,16,226.0,8.37037037037037,5.175889526366257,16,226.0,0.26484832778091644,16,226.0,True,"{'r': -2.26, 'l': 20, 't': 11.287938}","[0.         0.         0.         1.         1.         0.21134202
 0.26417753 0.10567101 0.         0.21134202 0.26417753 0.10567101
 0.         0.10567101 0.21134202 0.10567101 0.         0.10567101
 0.21134202 0.10567101 0.        ]"
